index,field,pv,value,read-only
0,beam_current,SR-DI-DCCT-01:SIGNAL,300,True
0,feedback_status,CS-CS-MSTAT-01:FBSTAT,2,True
3,enabled,SR01C-DI-EBPM-01:CF:ENABLED_S,1,True
3,x_fofb_disabled,SR01C-PC-HBPM-01:FAST:DISABLED,0,False
3,x_sofb_disabled,SR01C-PC-HBPM-01:SLOW:DISABLED,0,False
3,y_fofb_disabled,SR01C-PC-VBPM-01:FAST:DISABLED,0,False
3,y_sofb_disabled,SR01C-PC-VBPM-01:SLOW:DISABLED,0,False
3,golden_offset,SR01C-DI-EBPM-01:CF:GOLDEN_X_S,0,False
3,golden_offset,SR01C-DI-EBPM-01:CF:GOLDEN_Y_S,0,False
3,bcd_offset,SR01C-DI-EBPM-01:CF:BCD_X_S,0,False
3,bcd_offset,SR01C-DI-EBPM-01:CF:BCD_Y_S,0,False
3,bba_offset,SR01C-DI-EBPM-01:CF:BBA_X_S,0,False
3,bba_offset,SR01C-DI-EBPM-01:CF:BBA_Y_S,0,False
5,offset,SR01A-PC-Q1D-01:OFFSET1,0,True
8,error_sum,SR01A-PC-HSTR-01:ERCSUM,0,True
8,state,SR01A-PC-HSTR-01:STATE,2,True
8,h_fofb_disabled,SR01A-PC-HSTR-01:FAST:DISABLED,0,False
8,h_sofb_disabled,SR01A-PC-HSTR-01:SLOW:DISABLED,0,False
8,error_sum,SR01A-PC-VSTR-01:ERCSUM,0,True
8,state,SR01A-PC-VSTR-01:STATE,2,True
8,v_fofb_disabled,SR01A-PC-VSTR-01:FAST:DISABLED,0,False
8,v_sofb_disabled,SR01A-PC-VSTR-01:SLOW:DISABLED,0,False
11,offset,SR01A-PC-Q2D-02:OFFSET1,0,True
13,offset,SR01A-PC-Q3D-03:OFFSET1,0,True
16,error_sum,SR01A-PC-HSTR-02:ERCSUM,0,True
16,state,SR01A-PC-HSTR-02:STATE,2,True
16,h_fofb_disabled,SR01A-PC-HSTR-02:FAST:DISABLED,0,False
16,h_sofb_disabled,SR01A-PC-HSTR-02:SLOW:DISABLED,0,False
16,error_sum,SR01A-PC-VSTR-02:ERCSUM,0,True
16,state,SR01A-PC-VSTR-02:STATE,2,True
16,v_fofb_disabled,SR01A-PC-VSTR-02:FAST:DISABLED,0,False
16,v_sofb_disabled,SR01A-PC-VSTR-02:SLOW:DISABLED,0,False
19,enabled,SR01C-DI-EBPM-02:CF:ENABLED_S,1,True
19,x_fofb_disabled,SR01C-PC-HBPM-02:FAST:DISABLED,0,False
